VNUM	TYPE	MODEL	NAME	REG_1	REG_2	REG_3	REG_4	XROT_LIMIT	YROT_LIMIT	ZROT_LIMIT	PRICE	MATERIALS	NPC	GROUP	DEPEND_GROUP	???????
14123	OBJECT	c1-038-wall-lin2	Steinmauer (3-3)	-500	-106.73	500	106.73	0	0	360	1000000	90010,15/90011,5/90012,5	0	5	0	2
14124	OBJECT	c1-038-wall-door	Tor (3)	-1000	-274.73	1000	274.73	0	0	360	2500000	90010,5/90011,15/90012,10	0	5	0	2
14125	BUILDIN	c1-set	Mauer (3)	-1000	-274.73	1000	274.73	0	0	360	2500000	90010,5/90011,15/90012,10	0	5	0	1
14200	OBJECT	guild_symbol	Gildensymbol	-45.9	-9.44	42.68	40.13	0	0	360	3000000	90011,5/90012,5	0	0	1	1
14201	WALL	fence01_door01	Wandvorderseite	-1000	-54	1000	20	0	0	360	3000000	"90010.50"	0	0	1	1
14202	WALL	fence01_back01	Wandrückseite	-1000	-18	1000	18	0	0	360	3000000	"90010.50"	0	0	1	1
14203	WALL	fence01_left01	Wand links	-19	-1362	19	1362	0	0	360	3000000	"90010.50"	0	0	1	1
14204	WALL	fence01_right01	Wand rechts	-18	-1362	18	1362	0	0	360	3000000	"90010.50"	0	0	1	1
14300	OBJECT	general_obj_stone01	Stein1	-116.04	-118.44	116.04	118.44	0	0	360	300000	90010,5	0	0	0	1
14301	OBJECT	general_obj_stone02	Stein2	-118.05	-132.67	118.05	132.67	0	0	360	300000	90010,5	0	0	0	1
14302	OBJECT	general_obj_stone03	Stein3	-133.43	-102.96	133.43	102.96	0	0	360	300000	90010,7	0	0	0	1
14303	OBJECT	general_obj_stone04	Stein4	-104.21	-117.82	104.21	117.82	0	0	360	300000	90010,7	0	0	0	1
14304	OBJECT	general_obj_stone05	Stein5	-171.59	-145.52	171.59	145.52	0	0	360	300000	90010,7	0	0	0	1
14305	OBJECT	general_obj_stone06	Stein6	-192.74	-201.58	192.74	201.58	0	0	360	300000	90010,8	0	0	0	1
14306	OBJECT	general_obj_stone07	Stein7	-183.58	-184.01	183.58	184.01	0	0	360	300000	90010,8	0	0	0	1
14307	OBJECT	general_obj_stone08	Stein8	-66.89	-56.67	66.89	56.67	0	0	360	300000	90010,8	0	0	0	1
14308	OBJECT	general_obj_stone09	Stein9	-65.87	-53.47	65.87	53.47	0	0	360	300000	90010,9	0	0	0	1
14309	OBJECT	general_obj_stone10	Stein10	-182.17	-123.03	182.17	123.03	0	0	360	300000	90010,9	0	0	0	1
14400	OBJECT	B1_PagodaTree_RT	Baum1					0	0	360	2000000	90011,5	0	0	0	1
14401	OBJECT	B1_PagodaTree_RT3	Baum2					0	0	360	2000000	90011,5	0	0	0	1
14402	OBJECT	B1_Sassafras_RT_Fall	Baum3					0	0	360	2000000	90011,7	0	0	0	1
14403	OBJECT	B1_Sassafras_RT_Fall2	Baum4					0	0	360	2000000	90011,7	0	0	0	1
14404	OBJECT	B3_ShingleOak_RT2	Baum5					0	0	360	2000000	90011,7	0	0	0	1
14405	OBJECT	B2_IvySpy_RT	Baum6					0	0	360	2000000	90011,9	0	0	0	1
14406	OBJECT	B2_IvySpy_RT4	Baum7					0	0	360	2000000	90011,9	0	0	0	1
14407	OBJECT	B2_JapaneseMaple_RT_Fall	Baum8					0	0	360	2000000	90011,9	0	0	0	1
14408	OBJECT	B2_JapaneseMaple_RT_Fall2	Baum9					0	0	360	2000000	90011,9	0	0	0	1
