ACCE_ABSORB_COST	Aufnahmepreis: %d
AURA_NOTICE_DEL_ABSORDITEM	[Aura] Übertragener Gegenstand wird zerstört.
AURA_OPEN_OTHER_WINDOW	Du kannst das nicht tun, während ein Fenster für Verbesserung, Entwicklung oder Werteübertragung geöffnet ist.
AURA_POSSIBLE_AURAITEM	[Aura] Nur Auragewand ist möglich.
AURA_POSSIBLE_REGISTER_AURAITEM	[Aura] Auragewand muss zuerst eingefügt werden.
AURA_TITLE_ABSORB	Werte auf Auragewand übertragen
AURA_TITLE_EVOLUTION	Auragewand entwickeln
AURA_TITLE_GROWTH	Auragewand verbessern
AURA_TOOLTIP_EXP	EXP (%d%% / 100%%)
AURA_TOOLTIP_LEVEL	Lvl %d (Stufe %d) (Aufnahmerate %.1f%%)
AURA_TOOLTIP_NEED_YANG	%s Yang
AURA_TOOLTIP_NEXT	Neu
AURA_TOOLTIP_NOW	Aktuell
AURA_TOOLTIP_RESOURCE	Verbrauchsgegenstand
AURA_TOOLTIP_RESOURCE_ITEM	%s * %d
AUTO_TOOLTIP_CLEAR	Zurücksetzen
AUTO_TOOLTIP_LINE1	Fertigkeiten: Wähle Fertigkeiten für den Kampf aus und ziehe sie in die Slots. (Premium)
AUTO_TOOLTIP_LINE2	Hinweis: Du kannst unter der jeweiligen Fertigkeit den Intervall der Aktivierung (in Sekunden) editieren.
AUTO_TOOLTIP_LINE3	Tränke: Wähle Tränke für den Kampf aus und ziehe sie in die Slots. (Premium)
AUTO_TOOLTIP_LINE4	Hinweis: TP- und MP-Tränke werden aktiviert, wenn der unter dem Trank angegebene Wert in % unterschritten wird.
AUTO_TOOLTIP_LINE5	Hinweis: Automatischer Einsatz von Fertigkeiten, Tränken und Wiederbelebung kann im Item-Shop aktiviert werden.
AUTO_TOOLTIP_TITLE	Autojagd-Hilfe
BATTLE_POINT	Kampfpunkte
BEAD	Animasphäre
BEAD_TIME_REMAINING_TO_GET	Animasphäre wird aufgeladen in: %d Min.
BNW_COIN	Sehermünze
BUY_LIMIT_LEVEL	Kauflimit: %s
CANNOT_ATTACK_DEST_IN_SAFE	Der Gegner ist zu weit weg.
CANNOT_ATTACK_SELF_IN_SAFE	Ich kann den Gegner von hier nicht angreifen.
CANNOT_DOING_PRIVATE_SHOP_OPEN	Du kannst nichts anderes tun, solange du einen privaten Laden geöffnet hast.
CANNOT_EQUIP_IN_EXCHANGE	Du kannst keine Ausrüstung wechseln, während du handelst.
CANNOT_EQUIP_IN_SHOP	Du kannst keine Ausrüstung wechseln, während du handelst.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Du kannst einen privaten Laden nicht an einem öffentlichen Ort eröffnen.
CANNOT_SHOOT_DEST_IN_SAFE	Der Gegner ist zu weit weg.
CANNOT_SHOOT_EMPTY_ARROW	Ich benötige einen Pfeil.
CANNOT_SHOOT_SELF_IN_SAFE	Ich kann den Gegner von hier nicht angreifen.
CANNOT_SKILL_APPROACH	Ich bin mir sicher, dass ich nicht näher rankomme.
CANNOT_SKILL_ATTACK	Ich kann das nicht angreifen.
CANNOT_SKILL_BLUE	Wenn Purpurwolfseele aktiviert ist, kannst du Indigowolfseele nicht verwenden.
CANNOT_SKILL_DEST_IN_SAFE	Der Gegner ist zu weit weg.
CANNOT_SKILL_EQUIP_FISHING_ROD	Ohne ausgerüstete Angelrute kannst du keine Fische fangen.
CANNOT_SKILL_HAVE_TO_RIDE	Ich brauche ein Pferd, um das zu verwenden.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Ich habe keine leere Flasche.
CANNOT_SKILL_NEED_POISON_BOTTLE	Ich habe keine Giftflasche.
CANNOT_SKILL_NEED_TARGET	Wer ist das Ziel?
CANNOT_SKILL_NOT_ENOUGH_HP	Ich habe nicht genug TP!
CANNOT_SKILL_NOT_ENOUGH_SP	Ich habe nicht genug MP!
CANNOT_SKILL_NOT_HORSE_SKILL	Das kann ich nicht verwenden, während ich reite.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Diese Fertigkeit kann ich nicht mit dieser Waffe einsetzen.
CANNOT_SKILL_NOT_YET_LEARN	Diese Fertigkeit habe ich nicht gelernt.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Das wirkt nur bei Gruppenmitgliedern.
CANNOT_SKILL_ONLY_FOR_CORPSE	Das wirkt nur bei Toten.
CANNOT_SKILL_RED	Wenn Indigowolfseele aktiviert ist, kannst du Purpurwolfseele nicht verwenden.
CANNOT_SKILL_REMOVE_FISHING_ROD	Diese Fertigkeit kann ich nicht mit einer Angelrute einsetzen.
CANNOT_SKILL_SELF_IN_SAFE	Ich kann nicht von hier angreifen.
CANNOT_SKILL_USE_SELF	Das kann ich nicht auf mich selbst anwenden.
CANNOT_SKILL_WAIT_COOLTIME	Diese Fertigkeit kann ich noch nicht einsetzen.
CANNOT_USE	Du kannst ihn nicht verwenden.
CANNOT_WHISPER_DEST_REFUSE	%s hat Flüstern blockiert.	SA
CANNOT_WHISPER_NOT_LOGON	%s ist nicht online.	SA
CANNOT_WHISPER_SELF_REFUSE	Du kannst niemandem etwas zuflüstern, wenn du Flüstern blockiert hast.	SNA
CATEGORY_ARMOR_ARMOR_BODY	Rüstungen
CATEGORY_ARMOR_ARMOR_GLOVE	Handschuhe
CATEGORY_ARMOR_ARMOR_HEAD	Helme
CATEGORY_ARMOR_ARMOR_SHIELD	Schilde
CATEGORY_COSTUMES	Kostüme
CATEGORY_COSTUMES_COSTUME_BODY	Kostüme
CATEGORY_COSTUMES_COSTUME_HAIR	Frisuren
CATEGORY_COSTUMES_COSTUME_WEAPON	Waffenskins
CATEGORY_COSTUMES_ETC	Sonstiges
CATEGORY_COSTUMES_SASH	Schulterbänder
CATEGORY_DRAGON_STONE	Drachensteinalchemie
CATEGORY_DRAGON_STONE_DRAGON_DIAMOND	Diamant
CATEGORY_DRAGON_STONE_DRAGON_GARNET	Granat
CATEGORY_DRAGON_STONE_DRAGON_JADE	Jade
CATEGORY_DRAGON_STONE_DRAGON_ONYX	Onyx
CATEGORY_DRAGON_STONE_DRAGON_RUBY	Rubin
CATEGORY_DRAGON_STONE_DRAGON_SAPPHIRE	Saphir
CATEGORY_DRAGON_STONE_ETC	Sonstiges
CATEGORY_EQUIPMENT_ARMOR	Ausrüstungen
CATEGORY_EQUIPMENT_JEWELRY	Schmuck
CATEGORY_EQUIPMENT_WEAPON	Waffen
CATEGORY_ETC	Sonstiges
CATEGORY_ETC_ETC	Sonstiges
CATEGORY_ETC_EVENT	Eventitems
CATEGORY_ETC_GIFTBOX	Truhen | Boxen
CATEGORY_ETC_MATRIMORY	Hochzeit
CATEGORY_ETC_PARTI	Kriegskunstbücher
CATEGORY_ETC_POLYMORPH	Verwandlungskugeln
CATEGORY_ETC_RECIPE	Trankherstellung
CATEGORY_ETC_SEAL	Seelenbindung
CATEGORY_FISHING_PICK	Angeln | Bergbau
CATEGORY_FISHING_PICK_EQUIPMENT_PICK	Spitzhacken
CATEGORY_FISHING_PICK_ETC	Sonstiges
CATEGORY_FISHING_PICK_FISHING_POLE	Angelruten
CATEGORY_FISHING_PICK_FOOD	Fische
CATEGORY_FISHING_PICK_PICK_BOOK	Bergbaubücher
CATEGORY_FISHING_PICK_STONE	Erze
CATEGORY_JEWELRY_ARMOR_EAR	Ohrringe
CATEGORY_JEWELRY_ARMOR_FOOTS	Schuhe
CATEGORY_JEWELRY_ARMOR_NECK	Halsketten
CATEGORY_JEWELRY_ARMOR_PENDANT	Talisman
CATEGORY_JEWELRY_ARMOR_WRIST	Armbänder
CATEGORY_JEWELRY_ITEM_BELT	Gürtel
CATEGORY_MOUNT_PET	Mounts | Pets
CATEGORY_MOUNT_PET_CHARGED_PET	Pets
CATEGORY_MOUNT_PET_EGG	Pet-Eier
CATEGORY_MOUNT_PET_FREE_PET	Levelbare Pets
CATEGORY_MOUNT_PET_MOUNT	Mounts
CATEGORY_POTION	Tränke
CATEGORY_POTION_ABILITY	Verbrauchsgüter
CATEGORY_POTION_ETC	Sonstiges
CATEGORY_POTION_HAIRDYE	Haarfarben
CATEGORY_SKILL	Fertigkeiten
CATEGORY_SKILL_BOOK_OF_OBLIVION	Bücher des Vergessens
CATEGORY_SKILL_ETC	Sonstiges
CATEGORY_SKILL_PAHAE	Konter | Boost
CATEGORY_SKILL_SKILL_BOOK	Fertigkeitsbücher
CATEGORY_TUNING	Verbesserungen
CATEGORY_TUNING_ETC	Sonstiges
CATEGORY_TUNING_RESOURCE	Materialien
CATEGORY_TUNING_STONE	Geiststeine
CATEGORY_UNIQUE	Sonderitems
CATEGORY_UNIQUE_ABILITY	Konsumgüter
CATEGORY_UNIQUE_ETC	Sonstiges
CATEGORY_WEAPON_WEAPON_ARROW	Pfeile
CATEGORY_WEAPON_WEAPON_BELL	Glocken
CATEGORY_WEAPON_WEAPON_BOW	Bögen
CATEGORY_WEAPON_WEAPON_CLAW	Krallen
CATEGORY_WEAPON_WEAPON_DAGGER	Dolche
CATEGORY_WEAPON_WEAPON_FAN	Fächer
CATEGORY_WEAPON_WEAPON_MOUNT_SPEAR	Speere
CATEGORY_WEAPON_WEAPON_QUIVER	Köcher
CATEGORY_WEAPON_WEAPON_SWORD	Einhandwaffen
CATEGORY_WEAPON_WEAPON_TWO_HANDED	Zweihandwaffen
CHANGE_ALREADY_REGISTER	[Projektion] Dieser Gegenstand wurde bereits registriert.
CHANGE_LOOK_CHANGE_ITEM	Möchtest du den Gegenstand projizieren?
CHANGE_LOOK_CHECK_OUT_REGISTER_ITEM	[Projektion] Bitte entferne zuerst den Gegenstand, auf den die Projektion angewendet werden soll.
CHANGE_LOOK_COST	Preis für Projektion: %s Yang
CHANGE_LOOK_DEL_ITEM	Der aufgenommene Gegenstand wird gelöscht.
CHANGE_LOOK_DO_NOT_CHANGE_LOOK_ITEM	[Projektion] Dieser Gegenstand kann nicht projiziert werden.
CHANGE_LOOK_DO_NOT_EQUIP_ITEM	[Projektion] Du kannst den Gegenstand nicht projizieren, während er ausgerüstet ist.
CHANGE_LOOK_DO_NOT_REGISTER_ITEM	[Projektion] Dieser Gegenstand kann nicht registriert werden.
CHANGE_LOOK_DO_NOT_SEAL_ITEM	[Projektion] Der Gegenstand ist seelengebunden.
CHANGE_LOOK_INSERT_CHANGE_LOOK_ITEM	[Projektion] Bitte registriere den Gegenstand, den du projizieren möchtest.
CHANGE_LOOK_INSERT_ITEM	[Projektion] Du musst den Gegenstand zuerst registrieren.
CHANGE_LOOK_NEED_MONEY	Du hast entweder nicht genügend Yang oder nicht genügend Gegenstände.
CHANGE_LOOK_OPEN_OTHER_WINDOW	[Projektion] Die Aktion ist nicht möglich, wenn das Fenster "Projektion" geöffnet ist.
CHANGE_LOOK_TITLE	Projektion
CHANGE_LOOK_TITLE2	Reittier-Verwandlung
CHANGE_PET_PLEASE_APPEND_FIRST	Das Pet muss zuerst ausgewählt werden.
CHANGE_TOOLTIP2_LINE1	Füge links den Zielgegenstand und rechts das Material ein.
CHANGE_TOOLTIP2_LINE2	Klicke auf das Häkchen, um Yang oder eine Verwandlungsmarke zu verwenden und das Aussehen deines Reittiers zu ändern.
CHANGE_TOOLTIP2_LINE3	Eine Verwandlungsmarke ändert das Aussehen deines Reittiers, ohne Yang zu verbrauchen. (Die Marke wird dabei zerstört.)
CHANGE_TOOLTIP2_LINE4	Wird das Aussehen eines Reittiers mit einer Laufzeit geändert, bleibt die ursprüngliche Laufzeit bestehen.
CHANGE_TOOLTIP2_LINE5	Für den Fall, dass das Ziel-Reittier permanent ist und das Material-Reittier eine Laufzeit besitzt, behält das Reittier das geänderte Aussehen für die Laufzeit des Material-Reittiers.
CHANGE_TOOLTIP_LINE1	Lege den Gegenstand, auf den projiziert werden soll, links ab.
CHANGE_TOOLTIP_LINE2	Lege den anderen Gegenstand rechts ab.
CHANGE_TOOLTIP_LINE3	Das Aussehen des Gegenstands links ändert sich, wenn du
CHANGE_TOOLTIP_LINE4	die Projektion bestätigst (V) und dir Yang abgezogen wurde.
CHANGE_TOOLTIP_LINE5	Wenn du diesen Gegenstand benutzt,
CHANGE_TOOLTIP_LINE6	kannst du dein Item projizieren, ohne Yang einzusetzen.
CHANGE_TOOLTIP_TITLE	Projektion
CHANNEL	Channel
CHANNELING_CANNOT_LOGOUT	Du kannst nicht zurück zum Anmeldebildschirm.
CHANNEL_EMPTY_SERVER	Kein Server
CHANNEL_NORMAL	Channel %d
CHANNEL_NOTIFY_FULL	Dieser Channel ist voll! Wähle bitte einen anderen aus.
CHANNEL_NOT_FIND_INFO	Keine Informationen über den Channel gefunden.
CHANNEL_PVP	Freies Duell
CHANNEL_SELECT_CHANNEL	Wähle den Channel
CHANNEL_SELECT_REGION	Ort für die Rechnungsstellung wählen
CHANNEL_SELECT_SERVER	Server wählen
CHANNEL_STATUS_BUSY	Stark besucht
CHANNEL_STATUS_FULL	Voll
CHANNEL_STATUS_OFFLINE	Unbekannt
CHANNEL_STATUS_RECOMMENDED	Empfohlen
CHANNEL_STATUS_VACANT	Wenig besucht
CHANNEL_TEST_SERVER	Server testen
CHANNEL_TEST_SERVER_ADDR	Test %s:%d
CHARACTER_CREATE_MODE	Charakter erstellen
CHARACTER_NAME	Name
CHARACTER_SELECT_MODE	Charakter auswählen
CHARGE_BEAD_QUESTION	Benötige Animasphären: %d. Möchtest du fortfahren?
CHAT_ALL	Alle
CHAT_BLOCK	Abblocken
CHAT_DICE_INFO	Wurf
CHAT_GUILD	Gilde
CHAT_INFORMATION	Info
CHAT_INSULT_STRING	Der Satz enthält unzulässige Wörter.
CHAT_LOG	Alte Nachrichten anzeigen [L]
CHAT_LOG_TITLE	Chat-Protokoll
CHAT_NORMAL	Normal
CHAT_NOTICE	Server
CHAT_PARTY	Gruppe
CHAT_SEND_CHAT	Chat senden
CHAT_SEND_MEMO	Flüstern senden [Umschalt+Eingabe]
CHAT_SHOUT	Rufen
CHAT_SHOUT_LIMIT	Du kannst nur alle 15 Sekunden rufen.
CHAT_WHISPER	Flüstern
CHEQUE_SYSTEM_DO_NOT_DROP_MONEY	Du kannst kein Geld fallen lassen.
CHEQUE_SYSTEM_PICK_WON	Du hast %d Won erhalten.
CHEQUE_SYSTEM_SELL_PRICE	[Verkaufspreis]
CHEQUE_SYSTEM_UNIT_WON	Won
CHEQUE_SYSTEM_UNIT_YANG	Yang
CHEQUE_SYSTEM_WON	%s Won
CHEQUE_SYSTEM_YANG	%s Yang
CLEAR_FLOOR	Ebene
CLEAR_TIME	Zeit
ClosePetChangeWndButton	Schließen
COMB_ACCE_IS_CONTINUE_PROCESS	Möchtest du fortfahren?
COMB_ACCE_WARNING_MESSAGE	Bei Erfolg oder Teilerfolg wird das Original zerstört. Der Transfer kann fehlschlagen. Bei Fehlschlag oder Teilerfolg wird die Aufnahmerate des Empfängers reduziert.
COMB_ACCE_WARNING_MESSAGE1	Bei Erfolg oder Teilerfolg wird das Original zerstört.
COMB_ACCE_WARNING_MESSAGE2	Der Transfer kann fehlschlagen.
COMB_ACCE_WARNING_MESSAGE3	Bei Fehlschlag oder Teilerfolg wird die Aufnahmerate des Empfängers reduziert.
COMB_ACCE_WILL_REMOVE_MATERIAL	Bei Erfolg oder Teilerfolg wird das Original zerstört.
COMB_ALREADY_APPEND	Dieser Gegenstand wurde bereits ausgewählt.
COMB_CANT_APPEND_ITEM	Dieser Gegenstand kann nicht verwendet werden.
COMB_CANT_APPEND_SEALED_ITEM	Du kannst keinen seelengebundenen Gegenstand verwenden.
COMB_CANT_BASE_ITEM	Ein Band, das bereits über einen Bonus verfügt, kann nicht Empfänger sein.
COMB_CANT_MATCH_DRAINRATE	Für einen Bonustransfer muss die Aufnahmerate beider Items identisch sein.
COMB_CANT_MATCH_GRADE	Für einen Bonustransfer muss der Grad beider Items identisch sein.
COMB_CANT_MATERIAL_ITEM	Das Original-Item muss über einen Bonus verfügen.
COMB_COST	Preis: %s
COMB_IS_CONTINUE_PROCESS	Möchtest du fortfahren?
COMB_NOTICE	Du kannst keinen privaten Laden öffnen, während du Bücher tauschen möchtest.
COMB_NOTICE_NOT_OPEN	Du kannst keine Bücher tauschen, wenn du einen privaten Laden geöffnet hast.
COMB_NOT_ALL_SLOT_APPEND_ITEM	Du benötigst Original, Empfänger sowie das Transfer-Item, um Boni übertragen zu können.
COMB_NOT_FULL_BOOK	Nein, so werden wir nicht ins Geschäft kommen. Wie ich dir bereits erklärt habe, tausche ich nur, wenn du mir 10 Bücher dafür gibst.
COMB_NOT_ITEM_IN_INVENTORY	Du kannst keine ausgerüsteten Gegenstände verwenden.
COMB_NOT_MEDIUM_ITEM	Dieser Gegenstand kann nicht verwendet werden.
COMB_WILL_REMOVE_MATERIAL	Original wird bei Erfolg zerstört.
CREATE_ERROR_GM_NAME	Du darfst im Charakternamen nicht ,GM‘ verwenden.
CREATE_ERROR_INSULT_NAME	Dieser Name ist nicht zulässig.
CREATE_ERROR_LIMIT_LEVEL	Dein Charakter muss mindestens Level 80 besitzen.
CREATE_ERROR_TIME_LIMIT	Du kannst nur alle 30 Sek. einen Charakter erstellen.
CREATE_ERROR_WRONG_STRING	Dieser Charaktername ist nicht gestattet.
CREATE_EXIST_SAME_NAME	Ein anderer Charakter trägt bereits diesen Namen.
CREATE_FAILURE	Du kannst den Charakter nicht erstellen.
CREATE_FULL	Du kannst keinen weiteren Charakter mehr erstellen.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	Gib den Namen ein.
CREATE_PLUS_STAT	Es sind noch Statuspunkte verfügbar.
CUBE_CATEGORY_ACCESSORY	Schmuck
CUBE_CATEGORY_ARMOR	Rüstung
CUBE_CATEGORY_ARMOR_GLOVE	Handschuhe
CUBE_CATEGORY_BELT	Gürtel
CUBE_CATEGORY_ETC	Etc.
CUBE_CATEGORY_EVENT	Event
CUBE_CATEGORY_JOB	Klasse
CUBE_CATEGORY_PET	Pet
CUBE_CATEGORY_SETADD_ARMOR	Set-Rüstung herstellen
CUBE_CATEGORY_SETADD_HELMET	Set-Helm herstellen
CUBE_CATEGORY_SETADD_WEAPON	Set-Waffe herstellen
CUBE_CATEGORY_WEAPON	Waffe
CUBE_CATEGOR_SKILL_BOOK	Fertigkeitsbuch
CUBE_LIST_TEXT_ITEM_INFO	%s (%d%%)
CUBE_LIST_TEXT_MAKE_QUANTITY	[%d]
CUBE_MAKE_CONFIRM_QUESTION_1	Mindestens ein verwendetes Item ist besonders wertvoll (hat mehr als %d Boni).
CUBE_MAKE_CONFIRM_QUESTION_2	Möchtest du wirklich fortfahren?
CUBE_NOT_ENOUGH_GEM	Du hast nicht genügend Gaya.
CUBE_NOT_ENOUGH_GOLD	Nicht genug Yang zur Herstellung.
CUBE_NOT_ENOUGH_MATERIAL	Nicht genug Material zur Herstellung.
CUBE_PLEASE_SELECT	Es wurden keine Gegenstände ausgewählt.
CUBE_TOOLTIP_PASSIVE_JOB_LEFT_TIME	Verbleibende Zeit: {0} ~ {1} Stunden
CZ_REWARD_QUESTION_COMPLETE	Möchtest du dieses Feld einlösen?
CZ_REWARD_TOOLTIP_10GAN	Zodiakinsignien
CZ_REWARD_TOOLTIP_10GAN_COUNT	Anzahl im Inventar
CZ_REWARD_TOOLTIP_10GAN_NEED_COUNT	Erforderliche Anzahl
CZ_REWARD_TOOLTIP_12ZI	Wächterinsignien
CZ_REWARD_TOOLTIP_12ZI_COUNT	Anzahl im Inventar
CZ_REWARD_TOOLTIP_12ZI_NEED_COUNT	Erforderliche Anzahl
CZ_REWARD_TOOLTIP_ALL_BOX	Sternenschatz
CZ_REWARD_TOOLTIP_CAN_GET_ALL_BOX	Klicke hier, um deinen Sternenschatz als Belohnung abzuholen.
CZ_REWARD_TOOLTIP_CAN_GET_GREEN_BOX	Klicke hier, um deinen Aventurinschatz als Belohnung abzuholen.
CZ_REWARD_TOOLTIP_CAN_GET_YELLOW_BOX	Klicke hier, um deinen Aureolinschatz als Belohnung abzuholen.
CZ_REWARD_TOOLTIP_COMPLETABLE	Einlösen
CZ_REWARD_TOOLTIP_GREEN_BOX	Aventurinschatz
CZ_REWARD_TOOLTIP_GREEN_BOX_COMP_CNT	Eingelöste Aventurinschätze: %d
CZ_REWARD_TOOLTIP_WEEKLY	Tag
CZ_REWARD_TOOLTIP_WEEKLY_FRI	Freitag
CZ_REWARD_TOOLTIP_WEEKLY_MON	Montag
CZ_REWARD_TOOLTIP_WEEKLY_SAT	Samstag
CZ_REWARD_TOOLTIP_WEEKLY_SAT_SUN	Samstag/Sonntag
CZ_REWARD_TOOLTIP_WEEKLY_THU	Donnerstag
CZ_REWARD_TOOLTIP_WEEKLY_TUE	Dienstag
CZ_REWARD_TOOLTIP_WEEKLY_WED	Mittwoch
CZ_REWARD_TOOLTIP_YELLOW_BOX	Aureolinschatz
CZ_REWARD_TOOLTIP_YELLOW_BOX_COMP_CNT	Eingelöste Aureolinschätze: %d
DAY	T
DETAILS_0	Stark vs. Metin
DETAILS_1	St. vs. Halbmenschen
DETAILS_10	St. vs. Wüstenmonster
DETAILS_11	Stark vs. Insekten
DETAILS_12	Angriffswert
DETAILS_13	Verteidigungswert
DETAILS_14	Durchschnittsschaden
DETAILS_15	Wid. Durchschnittssch.
DETAILS_16	Fertigkeitsschaden
DETAILS_17	Widerstand Fertigkeitssch.
DETAILS_18	Magie-/Nahkampfangriff
DETAILS_19	Magischer Angriff
DETAILS_2	Wid. vs. Halbmenschen
DETAILS_20	Krit. Trefferchance
DETAILS_21	Durchb. Treffer
DETAILS_22	Wid. krit. Treffer
DETAILS_23	Wid. durchb. Treffer
DETAILS_24	Blitzwiderstand
DETAILS_25	Eiswiderstand
DETAILS_26	Wid. vs. Dunkelheit
DETAILS_27	Feuerwiderstand
DETAILS_28	Windwiderstand
DETAILS_29	Erdwiderstand
DETAILS_3	Stark vs. Orks
DETAILS_30	Kraft der Blitze
DETAILS_31	Kraft des Eises
DETAILS_32	Kraft der Dunkelheit
DETAILS_33	Kraft des Feuers
DETAILS_34	Kraft des Windes
DETAILS_35	Kraft der Erde
DETAILS_36	Stark vs. Krieger
DETAILS_37	Stark vs. Ninja
DETAILS_38	Stark vs. Sura
DETAILS_39	Stark vs. Schamanen
DETAILS_4	Stark vs. Untote
DETAILS_40	Stark vs. Lykaner
DETAILS_41	Abwehr vs. Krieger
DETAILS_42	Abwehr vs. Ninja
DETAILS_43	Abwehr vs. Sura
DETAILS_44	Abw. vs. Schamanen
DETAILS_45	Abwehr vs. Lykaner
DETAILS_46	Schwertverteidigung
DETAILS_47	Zweihandverteidigung
DETAILS_48	Dolchverteidigung
DETAILS_49	Krallenverteidigung
DETAILS_5	Stark vs. Monster
DETAILS_50	Glockenverteidigung
DETAILS_51	Fächerverteidigung
DETAILS_52	Pfeilverteidigung
DETAILS_53	Ohnmachtschance
DETAILS_54	Verlangsamungschance
DETAILS_55	Vergiftungschance
DETAILS_56	Giftwiderstand
DETAILS_57	Blutungsangriff
DETAILS_58	Wid. Blutungsangriff
DETAILS_59	Lebensraub
DETAILS_6	St. vs. Zodiakmonster
DETAILS_60	MP-Raub
DETAILS_61	TP-Wiederherstellung
DETAILS_62	MP-Wiederherstellung
DETAILS_63	Angriff blocken
DETAILS_64	Pfeilangriff ausweichen
DETAILS_65	Nahkampftr. reflekt.
DETAILS_66	TP-Wdsg. beim Töten
DETAILS_67	MP-Wdsg. beim Töten
DETAILS_68	2-fach EXP
DETAILS_69	2-fach Yang
DETAILS_7	Stark vs. Tiere
DETAILS_70	Dropchance
DETAILS_71	Angriffswert
DETAILS_72	Verteidigung
DETAILS_73	EXP
DETAILS_74	Dropchance
DETAILS_75	2-fach Yang
DETAILS_76	Magiewiderstand
DETAILS_77	Magiebruch
DETAILS_8	Stark vs. Esoterische
DETAILS_9	Stark vs. Teufel
DETAILS_ATTBONUS_BELL	Bruch von Glocke
DETAILS_ATTBONUS_BOW	Bruch von Pfeil
DETAILS_ATTBONUS_CLAW	Bruch von Kralle
DETAILS_ATTBONUS_DAGGER	Bruch von Dolch
DETAILS_ATTBONUS_FAN	Bruch von Fächer
DETAILS_ATTBONUS_SWORD	Bruch von Schwert
DETAILS_ATTBONUS_TWOHAND	Bruch von Zweihand
